@relation nba_no_ws
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
5400,3080,1318,8.7,5.0,2.1,14.0,0,0,0,False
3633,539,939,10.9,1.6,2.8,13.3,0,1,0,False
17940,2432,3926,20.2,2.7,4.4,17.4,6,0,0.001,False
819,147,576,4.4,0.8,3.1,9.1,0,0,0,False
2611,500,1552,9.3,1.8,5.5,17.0,0,0,0,True
517,82,372,2.4,0.4,1.7,11.7,0,1,0,False
1909,278,1832,4.4,0.6,4.3,10.6,0,1,0,False
1107,224,624,5.3,1.1,3.0,11.4,0,0,0,False
1298,262,818,3.8,0.8,2.4,8.5,0,1,0,False
1728,910,393,7.6,4.0,1.7,13.6,0,0,0,False
3704,509,1132,6.4,0.9,1.9,12.9,0,0,0,False
9924,2561,1978,15.1,3.9,3.0,15.8,2,1,0.027,False
3640,335,1444,12.9,1.2,5.1,15.1,0,0,0,False
4623,716,2686,8.8,1.4,5.1,12.1,0,0,0,False
786,181,1039,6.3,1.4,8.3,11.8,0,0,0,False
2187,225,973,7.9,0.8,3.5,12.6,0,0,0,False
1454,143,1169,3.6,0.4,2.9,11.8,0,0,0,False
8603,978,5261,11.5,1.3,7.0,16.3,2,0,0,False
1652,317,873,7.7,1.5,4.1,14.0,0,0,0,False
956,109,290,6.7,0.8,2.0,9.3,0,0,0,False
3923,444,2327,7.9,0.9,4.7,13.0,0,0,0,False
2667,270,1032,8.3,0.8,3.2,13.2,0,0,0,False
1696,585,821,6.1,2.1,2.9,10.3,0,0,0,False
2895,549,2088,11.0,2.1,8.0,15.4,1,0,0,False
8428,1614,6537,10.2,2.0,7.9,13.6,0,1,0,False
1470,944,391,6.8,4.4,1.8,11.6,0,0,0,False
7492,2456,3139,8.6,2.8,3.6,13.4,0,0,0,False
1257,343,916,3.8,1.0,2.8,10.8,0,0,0,False
848,180,192,7.1,1.5,1.6,12.4,0,0,0,False
1739,260,624,5.2,0.8,1.9,9.8,0,0,0,False
3686,356,2436,8.5,0.8,5.6,14.0,1,0,0,False
162,108,56,1.5,1.0,0.5,5.7,0,0,0,False
2790,426,2151,5.1,0.8,3.9,12.6,0,1,0,False
347,55,119,3.2,0.5,1.1,8.4,0,0,0,False
29580,1936,17834,20.3,1.3,12.3,22.0,13,1,2.873,True
2454,378,1310,6.5,1.0,3.5,13.2,0,0,0,False
1291,254,2214,4.2,0.8,7.2,9.3,0,0,0,False
14470,2860,3554,14.7,2.9,3.6,16.3,1,0,0,False
2896,601,1962,5.3,1.1,3.6,9.3,0,1,0,False
609,310,175,3.6,1.9,1.0,8.5,0,0,0,False
12884,1985,7232,16.5,2.5,9.3,18.0,1,0,0,False
2553,472,2151,7.2,1.3,6.0,10.0,0,0,0,False
510,84,209,2.8,0.5,1.2,8.0,0,1,0,False
