@relation nba_all
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute stats.advanced.ts_pct.value real
@attribute stats.advanced.ws.value real
@attribute stats.advanced.dws.value real
@attribute stats.advanced.ows.value real
@attribute stats.advanced.efg_pct.value real
@attribute stats.totals.g.value integer
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
2287,460,2690,3.6,0.7,4.2,11.1,0.494,18.2,14.0,4.3,0.471,644,0,0,0,False
15411,2209,4305,17.7,2.5,4.9,18.7,0.503,92.3,43.7,48.6,0.456,871,5,10,0.067,True
8868,1039,4675,10.2,1.2,5.4,14.6,0.512,40.8,24.9,15.9,0.485,871,0,0,0,False
3590,641,913,10.7,1.9,2.7,10.1,0.46,5.9,6.9,-0.9,0.423,335,0,0,0,False
1099,169,853,7.6,1.2,5.9,10.6,0.517,2.2,1.5,0.7,0.477,145,0,0,0,False
6672,2099,1471,9.8,3.1,2.2,11.0,0.458,16.1,14.4,1.7,0.409,678,0,1,0,False
7709,963,2469,12.0,1.5,3.8,14.6,0.495,23.3,12.2,11.1,0.458,642,0,0,0,False
4602,784,4031,8.3,1.4,7.3,14.6,0.499,22.0,12.1,9.9,0.476,555,0,0,0,False
1574,711,1125,5.0,2.3,3.6,12.3,0.459,10.8,5.5,5.3,0.407,315,0,1,0,False
1430,203,1258,5.3,0.7,4.6,12.1,0.452,1.9,3.4,-1.6,0.416,271,0,0,0,False
2403,213,861,7.7,0.7,2.8,10.2,0.445,0.7,3.5,-2.8,0.414,313,0,0,0,False
585,118,835,2.4,0.5,3.5,8.7,0.444,2.3,3.1,-0.8,0.408,239,1,0,0,False
5616,1060,5575,8.2,1.6,8.2,13.1,0.481,24.7,18.7,6.0,0.453,682,0,0,0,False
1074,298,329,7.8,2.2,2.4,12.6,0.494,3.9,1.3,2.6,0.444,137,0,0,0,False
365,67,338,2.7,0.5,2.5,10.9,0.441,1.3,0.6,0.7,0.391,134,0,1,0,False
7251,1991,3449,9.5,2.6,4.5,12.2,0.475,25.2,18.3,6.9,0.435,766,0,0,0,False
6588,1980,1349,11.8,3.6,2.4,15.0,0.519,30.1,11.6,18.5,0.469,556,0,3,0,False
1482,119,1200,4.4,0.4,3.5,9.8,0.497,4.7,4.6,0.1,0.464,340,0,0,0,False
2133,310,2550,5.2,0.8,6.2,10.6,0.462,7.4,7.7,-0.2,0.43,411,0,0,0,False
545,85,526,2.6,0.4,2.5,8.4,0.493,2.9,2.2,0.7,0.482,212,0,0,0,False
643,142,492,4.5,1.0,3.4,10.7,0.493,2.0,1.9,0.1,0.455,143,0,0,0,False
6684,3339,1164,9.5,4.8,1.7,14.7,0.52,29.9,13.9,16.0,0.462,700,0,0,0,False
13892,2502,4817,20.1,3.6,7.0,20.1,0.556,79.8,26.8,53.0,0.519,691,5,0,0.118,False
11366,3069,2930,16.6,4.5,4.3,17.1,0.567,78.9,25.6,53.2,0.51,686,6,0,0,False
17707,10141,6559,19.5,11.2,7.2,24.1,0.61,155.8,45.2,110.6,0.533,906,12,5,5.129,True
5960,1950,1567,10.8,3.5,2.8,13.7,0.488,33.1,20.9,12.2,0.409,550,0,5,0,False
2431,370,941,9.5,1.5,3.7,12.7,0.486,7.6,2.6,5.0,0.446,255,0,0,0,False
835,143,259,5.5,0.9,1.7,8.9,0.459,-0.9,1.3,-2.2,0.425,153,0,0,0,False
5629,964,3436,12.0,2.1,7.3,21.2,0.574,47.3,23.3,24.0,0.517,470,0,0,0.003,True
16784,1646,13017,12.8,1.3,10.0,15.3,0.587,120.1,61.8,58.3,0.549,1307,3,0,0.064,False
7106,805,3965,11.9,1.3,6.6,15.4,0.502,32.7,17.4,15.3,0.433,597,1,0,0,False
510,31,383,3.6,0.2,2.7,11.2,0.51,1.7,0.9,0.8,0.423,143,0,0,0,False
3114,338,2146,5.5,0.6,3.8,11.4,0.464,11.4,10.4,0.9,0.417,568,0,2,0,False
